drug1,drug2,severity,note
Levothyroxine,Codeine,low,"Minor interaction, monitor symptoms."
Clopidogrel,Esomeprazole,low,"Minor interaction, monitor symptoms."
Clopidogrel,Hydrochlorothiazide,low,"Minor interaction, monitor symptoms."
Sertraline,Trazodone,high,"Severe interaction, avoid concurrent use."
Clopidogrel,Venlafaxine,high,"Severe interaction, avoid concurrent use."
Paracetamol,Atorvastatin,low,"Minor interaction, monitor symptoms."
Ciprofloxacin,Sertraline,low,"Minor interaction, monitor symptoms."
Paracetamol,Ketorolac,high,"Severe interaction, avoid concurrent use."
Amoxicillin,Simvastatin,high,"Severe interaction, avoid concurrent use."
Aspirin,Sertraline,medium,"Moderate interaction, consult healthcare provider."
Paracetamol,Losartan,medium,"Moderate interaction, consult healthcare provider."
Insulin,Baclofen,medium,"Moderate interaction, consult healthcare provider."
Fluoxetine,Codeine,high,"Severe interaction, avoid concurrent use."
Ranitidine,Esomeprazole,medium,"Moderate interaction, consult healthcare provider."
Simvastatin,Olanzapine,high,"Severe interaction, avoid concurrent use."
Hydrochlorothiazide,Trazodone,medium,"Moderate interaction, consult healthcare provider."
Lisinopril,Olanzapine,low,"Minor interaction, monitor symptoms."
Simvastatin,Fluoxetine,high,"Severe interaction, avoid concurrent use."
Citalopram,Ketorolac,medium,"Moderate interaction, consult healthcare provider."
Ciprofloxacin,Alprazolam,medium,"Moderate interaction, consult healthcare provider."
Losartan,Prednisone,high,"Severe interaction, avoid concurrent use."
Ibuprofen,Risperidone,high,"Severe interaction, avoid concurrent use."
Tramadol,Quetiapine,low,"Minor interaction, monitor symptoms."
Aspirin,Naproxen,low,"Minor interaction, monitor symptoms."
Doxycycline,Zolpidem,low,"Minor interaction, monitor symptoms."
Furosemide,Ranitidine,low,"Minor interaction, monitor symptoms."
Metformin,Simvastatin,medium,"Moderate interaction, consult healthcare provider."
Diazepam,Aripiprazole,low,"Minor interaction, monitor symptoms."
Trazodone,Zolpidem,low,"Minor interaction, monitor symptoms."
Citalopram,Sertraline,high,"Severe interaction, avoid concurrent use."
Omeprazole,Esomeprazole,low,"Minor interaction, monitor symptoms."
Furosemide,Azithromycin,low,"Minor interaction, monitor symptoms."
Levothyroxine,Doxycycline,medium,"Moderate interaction, consult healthcare provider."
Metformin,Haloperidol,high,"Severe interaction, avoid concurrent use."
Amoxicillin,Trazodone,medium,"Moderate interaction, consult healthcare provider."
Amoxicillin,Alprazolam,high,"Severe interaction, avoid concurrent use."
Paracetamol,Azithromycin,high,"Severe interaction, avoid concurrent use."
Fluoxetine,Olanzapine,medium,"Moderate interaction, consult healthcare provider."
Lisinopril,Bupropion,low,"Minor interaction, monitor symptoms."
Warfarin,Tramadol,medium,"Moderate interaction, consult healthcare provider."
Omeprazole,Bupropion,low,"Minor interaction, monitor symptoms."
Amoxicillin,Diazepam,low,"Minor interaction, monitor symptoms."
Naproxen,Esomeprazole,high,"Severe interaction, avoid concurrent use."
Ciprofloxacin,Doxycycline,medium,"Moderate interaction, consult healthcare provider."
Clopidogrel,Fluoxetine,high,"Severe interaction, avoid concurrent use."
Ibuprofen,Quetiapine,low,"Minor interaction, monitor symptoms."
Sertraline,Aripiprazole,low,"Minor interaction, monitor symptoms."
Alprazolam,Zolpidem,high,"Severe interaction, avoid concurrent use."
Tramadol,Codeine,medium,"Moderate interaction, consult healthcare provider."
Alprazolam,Bupropion,low,"Minor interaction, monitor symptoms."
Metformin,Alprazolam,high,"Severe interaction, avoid concurrent use."
Simvastatin,Diazepam,high,"Severe interaction, avoid concurrent use."
Warfarin,Furosemide,medium,"Moderate interaction, consult healthcare provider."
Ciprofloxacin,Clopidogrel,high,"Severe interaction, avoid concurrent use."
Losartan,Fluoxetine,high,"Severe interaction, avoid concurrent use."
Omeprazole,Levothyroxine,medium,"Moderate interaction, consult healthcare provider."
Furosemide,Zolpidem,medium,"Moderate interaction, consult healthcare provider."
Paracetamol,Olanzapine,high,"Severe interaction, avoid concurrent use."
Sertraline,Ranitidine,high,"Severe interaction, avoid concurrent use."
Aspirin,Tramadol,medium,"Moderate interaction, consult healthcare provider."
Tramadol,Venlafaxine,low,"Minor interaction, monitor symptoms."
Baclofen,Venlafaxine,low,"Minor interaction, monitor symptoms."
Doxycycline,Ketorolac,medium,"Moderate interaction, consult healthcare provider."
Diazepam,Citalopram,low,"Minor interaction, monitor symptoms."
Omeprazole,Baclofen,high,"Severe interaction, avoid concurrent use."
Diazepam,Trazodone,medium,"Moderate interaction, consult healthcare provider."
Clopidogrel,Baclofen,medium,"Moderate interaction, consult healthcare provider."
Zolpidem,Haloperidol,medium,"Moderate interaction, consult healthcare provider."
Atorvastatin,Naproxen,high,"Severe interaction, avoid concurrent use."
Lisinopril,Losartan,medium,"Moderate interaction, consult healthcare provider."
Trazodone,Aripiprazole,high,"Severe interaction, avoid concurrent use."
Ciprofloxacin,Aripiprazole,medium,"Moderate interaction, consult healthcare provider."
Ibuprofen,Furosemide,low,"Minor interaction, monitor symptoms."
Aspirin,Ciprofloxacin,medium,"Moderate interaction, consult healthcare provider."
Tramadol,Aripiprazole,low,"Minor interaction, monitor symptoms."
Aspirin,Aripiprazole,high,"Severe interaction, avoid concurrent use."
Paracetamol,Aripiprazole,high,"Severe interaction, avoid concurrent use."
Insulin,Haloperidol,low,"Minor interaction, monitor symptoms."
Metformin,Furosemide,high,"Severe interaction, avoid concurrent use."
Prednisone,Clopidogrel,medium,"Moderate interaction, consult healthcare provider."
Clopidogrel,Ranitidine,medium,"Moderate interaction, consult healthcare provider."
Hydrochlorothiazide,Olanzapine,high,"Severe interaction, avoid concurrent use."
Paracetamol,Esomeprazole,low,"Minor interaction, monitor symptoms."
Aspirin,Paracetamol,high,"Severe interaction, avoid concurrent use."
Metformin,Diazepam,medium,"Moderate interaction, consult healthcare provider."
Prednisone,Ketorolac,low,"Minor interaction, monitor symptoms."
Baclofen,Risperidone,low,"Minor interaction, monitor symptoms."
Atorvastatin,Zolpidem,high,"Severe interaction, avoid concurrent use."
Lisinopril,Furosemide,low,"Minor interaction, monitor symptoms."
Metformin,Esomeprazole,low,"Minor interaction, monitor symptoms."
Losartan,Clopidogrel,high,"Severe interaction, avoid concurrent use."
Ciprofloxacin,Morphine,medium,"Moderate interaction, consult healthcare provider."
Levothyroxine,Haloperidol,low,"Minor interaction, monitor symptoms."
Amoxicillin,Azithromycin,medium,"Moderate interaction, consult healthcare provider."
Azithromycin,Risperidone,high,"Severe interaction, avoid concurrent use."
Sertraline,Morphine,high,"Severe interaction, avoid concurrent use."
Ciprofloxacin,Omeprazole,high,"Severe interaction, avoid concurrent use."
Atorvastatin,Losartan,high,"Severe interaction, avoid concurrent use."
Citalopram,Bupropion,medium,"Moderate interaction, consult healthcare provider."
Citalopram,Zolpidem,medium,"Moderate interaction, consult healthcare provider."
Omeprazole,Zolpidem,low,"Minor interaction, monitor symptoms."
Ciprofloxacin,Losartan,medium,"Moderate interaction, consult healthcare provider."
Warfarin,Risperidone,low,"Minor interaction, monitor symptoms."
Lisinopril,Losartan,medium,"Moderate interaction, consult healthcare provider."
Ketorolac,Quetiapine,low,"Minor interaction, monitor symptoms."
Amoxicillin,Losartan,medium,"Moderate interaction, consult healthcare provider."
Olanzapine,Haloperidol,medium,"Moderate interaction, consult healthcare provider."
Citalopram,Losartan,low,"Minor interaction, monitor symptoms."
Losartan,Quetiapine,low,"Minor interaction, monitor symptoms."
Losartan,Furosemide,low,"Minor interaction, monitor symptoms."
Amoxicillin,Olanzapine,medium,"Moderate interaction, consult healthcare provider."
Furosemide,Bupropion,medium,"Moderate interaction, consult healthcare provider."
Diazepam,Morphine,low,"Minor interaction, monitor symptoms."
Metoprolol,Sertraline,medium,"Moderate interaction, consult healthcare provider."
Prednisone,Alprazolam,medium,"Moderate interaction, consult healthcare provider."
Zolpidem,Olanzapine,low,"Minor interaction, monitor symptoms."
Citalopram,Aripiprazole,low,"Minor interaction, monitor symptoms."
Prednisone,Quetiapine,medium,"Moderate interaction, consult healthcare provider."
Azithromycin,Trazodone,medium,"Moderate interaction, consult healthcare provider."
Atorvastatin,Ranitidine,high,"Severe interaction, avoid concurrent use."
Olanzapine,Risperidone,low,"Minor interaction, monitor symptoms."
Tramadol,Azithromycin,medium,"Moderate interaction, consult healthcare provider."
Paracetamol,Venlafaxine,high,"Severe interaction, avoid concurrent use."
Azithromycin,Bupropion,high,"Severe interaction, avoid concurrent use."
Codeine,Quetiapine,low,"Minor interaction, monitor symptoms."
Metformin,Risperidone,high,"Severe interaction, avoid concurrent use."
Esomeprazole,Haloperidol,high,"Severe interaction, avoid concurrent use."
Codeine,Venlafaxine,high,"Severe interaction, avoid concurrent use."
Furosemide,Baclofen,low,"Minor interaction, monitor symptoms."
Ciprofloxacin,Codeine,medium,"Moderate interaction, consult healthcare provider."
Diazepam,Quetiapine,medium,"Moderate interaction, consult healthcare provider."
Morphine,Zolpidem,high,"Severe interaction, avoid concurrent use."
Alprazolam,Olanzapine,medium,"Moderate interaction, consult healthcare provider."
Clopidogrel,Aripiprazole,high,"Severe interaction, avoid concurrent use."
Alprazolam,Ketorolac,high,"Severe interaction, avoid concurrent use."
Morphine,Olanzapine,medium,"Moderate interaction, consult healthcare provider."
Doxycycline,Risperidone,high,"Severe interaction, avoid concurrent use."
Gabapentin,Olanzapine,high,"Severe interaction, avoid concurrent use."
Insulin,Morphine,medium,"Moderate interaction, consult healthcare provider."
Fluoxetine,Esomeprazole,low,"Minor interaction, monitor symptoms."
Simvastatin,Metoprolol,medium,"Moderate interaction, consult healthcare provider."
Paracetamol,Hydrochlorothiazide,medium,"Moderate interaction, consult healthcare provider."
Ibuprofen,Trazodone,medium,"Moderate interaction, consult healthcare provider."
Clopidogrel,Tramadol,high,"Severe interaction, avoid concurrent use."
Amoxicillin,Venlafaxine,medium,"Moderate interaction, consult healthcare provider."
Amoxicillin,Naproxen,medium,"Moderate interaction, consult healthcare provider."
Atorvastatin,Omeprazole,high,"Severe interaction, avoid concurrent use."
Lisinopril,Clopidogrel,high,"Severe interaction, avoid concurrent use."
Prednisone,Baclofen,low,"Minor interaction, monitor symptoms."
Furosemide,Quetiapine,high,"Severe interaction, avoid concurrent use."
Metformin,Bupropion,high,"Severe interaction, avoid concurrent use."
Ciprofloxacin,Esomeprazole,low,"Minor interaction, monitor symptoms."
Omeprazole,Haloperidol,high,"Severe interaction, avoid concurrent use."
Lisinopril,Aripiprazole,medium,"Moderate interaction, consult healthcare provider."
Aspirin,Zolpidem,high,"Severe interaction, avoid concurrent use."
Alprazolam,Risperidone,medium,"Moderate interaction, consult healthcare provider."
Prednisone,Zolpidem,high,"Severe interaction, avoid concurrent use."
Simvastatin,Risperidone,high,"Severe interaction, avoid concurrent use."
Amoxicillin,Sertraline,high,"Severe interaction, avoid concurrent use."
Warfarin,Olanzapine,low,"Minor interaction, monitor symptoms."
Omeprazole,Aripiprazole,low,"Minor interaction, monitor symptoms."
Sertraline,Bupropion,medium,"Moderate interaction, consult healthcare provider."
Simvastatin,Alprazolam,high,"Severe interaction, avoid concurrent use."
Metoprolol,Codeine,medium,"Moderate interaction, consult healthcare provider."
Omeprazole,Furosemide,high,"Severe interaction, avoid concurrent use."
Losartan,Venlafaxine,low,"Minor interaction, monitor symptoms."
Omeprazole,Fluoxetine,medium,"Moderate interaction, consult healthcare provider."
Hydroxyzine Variant22,Metoprolol,high,"Severe interaction: Risk of enhanced QT prolongation and cardiac arrhythmia. Avoid concurrent use."
