 drug_name,age_group,warning,severity,alternative,note
Metoclopramide Variant92,Neonates,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Metoclopramide Variant93,<2 years,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Ciprofloxacin Variant94,<2 years,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Hydroxyzine Variant95,Adult,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Hydroxyzine Variant96,Adult,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Hydroxyzine Variant97,<2 years,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Chloramphenicol Variant98,Adult,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Prednisone Variant99,All,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Ciprofloxacin Variant0,All,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Ciprofloxacin Variant1,<18,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Chloramphenicol Variant2,<2 years,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Metoclopramide Variant3,Elderly,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Aspirin Variant4,Elderly,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Chloramphenicol Variant5,<2 years,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Hydroxyzine Variant6,<2 years,Risk of QT prolongation and sedation.,Medium,Loratadine,Use safer antihistamines in elderly.
Prednisone Variant7,Neonates,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Lorazepam Variant8,Neonates,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Ciprofloxacin Variant9,Neonates,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Aspirin Variant10,All,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Ciprofloxacin Variant11,<2 years,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Metoclopramide Variant12,Adult,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Lorazepam Variant13,<18,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Chloramphenicol Variant14,All,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Dexamethasone Variant15,<2 years,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Metoclopramide Variant16,Elderly,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
Metoclopramide Variant17,Elderly,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
Lorazepam Variant18,Neonates,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Dexamethasone Variant19,<18,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Ciprofloxacin Variant20,Elderly,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Hydroxyzine Variant21,<2 years,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Lorazepam Variant22,All,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Prednisone Variant23,<18,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant24,Adult,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Ciprofloxacin Variant25,Neonates,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Promethazine Variant26,Pediatric,Risk of fatal respiratory depression.,Critical,Saline Nebulizer,Never use in children under 2.
Dexamethasone Variant27,<2 years,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Codeine Variant28,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Lorazepam Variant29,<2 years,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Hydroxyzine Variant30,<18,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Hydroxyzine Variant31,Pediatric,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Aspirin Variant32,Pediatric,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Ciprofloxacin Variant33,<2 years,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Lorazepam Variant34,Neonates,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Codeine Variant35,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Dexamethasone Variant36,Pediatric,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Dexamethasone Variant37,Pediatric,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Metoclopramide Variant38,<2 years,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Codeine Variant39,<18,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Metoclopramide Variant40,Adult,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Prednisone Variant41,All,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Hydroxyzine Variant42,All,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Ciprofloxacin Variant43,<2 years,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Codeine Variant44,Adult,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Ciprofloxacin Variant45,Neonates,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Prednisone Variant46,<18,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Dexamethasone Variant47,All,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Prednisone Variant48,Pediatric,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Ciprofloxacin Variant49,Neonates,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Chloramphenicol Variant50,<18,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Dexamethasone Variant51,Pediatric,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Dexamethasone Variant52,Pediatric,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Hydroxyzine Variant53,<2 years,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Aspirin Variant54,Pediatric,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Aspirin Variant55,<2 years,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Lorazepam Variant56,Elderly,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Chloramphenicol Variant57,All,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Prednisone Variant58,<2 years,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Prednisone Variant59,<18,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Metoclopramide Variant60,<18,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Metoclopramide Variant61,Neonates,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Codeine Variant62,<18,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Codeine Variant63,Elderly,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Ciprofloxacin Variant64,<18,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Chloramphenicol Variant65,Elderly,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Hydroxyzine Variant66,Elderly,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Promethazine Variant67,Elderly,Risk of fatal respiratory depression.,Medium,Saline Nebulizer,Never use in children under 2.
Chloramphenicol Variant68,Adult,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Chloramphenicol Variant69,Elderly,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Promethazine Variant70,Neonates,Risk of fatal respiratory depression.,Medium,Saline Nebulizer,Never use in children under 2.
Metoclopramide Variant71,Neonates,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Promethazine Variant72,All,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Dexamethasone Variant73,Elderly,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Chloramphenicol Variant74,<18,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Codeine Variant75,All,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Hydroxyzine Variant76,Neonates,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Hydroxyzine Variant77,<18,Risk of QT prolongation and sedation.,Medium,Loratadine,Use safer antihistamines in elderly.
Metoclopramide Variant78,<2 years,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Prednisone Variant79,<2 years,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Lorazepam Variant80,Elderly,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Ciprofloxacin Variant81,All,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Aspirin Variant82,All,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Prednisone Variant83,<18,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Codeine Variant84,Elderly,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Hydroxyzine Variant85,Pediatric,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Chloramphenicol Variant86,Pediatric,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Metoclopramide Variant87,<18,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Codeine Variant88,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Promethazine Variant89,Elderly,Risk of fatal respiratory depression.,Critical,Saline Nebulizer,Never use in children under 2.
Codeine Variant90,All,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Aspirin Variant91,Neonates,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Promethazine Variant92,Adult,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Codeine Variant93,Neonates,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Chloramphenicol Variant94,<18,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Promethazine Variant95,Pediatric,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Prednisone Variant96,Elderly,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Lorazepam Variant97,Pediatric,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Aspirin Variant98,Pediatric,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Codeine Variant99,<18,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Codeine Variant0,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Dexamethasone Variant1,<18,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Prednisone Variant2,Neonates,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Lorazepam Variant3,All,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Aspirin Variant4,<2 years,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Promethazine Variant5,Pediatric,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Prednisone Variant6,Adult,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant7,All,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Prednisone Variant8,Neonates,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Lorazepam Variant9,Pediatric,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Codeine Variant10,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Lorazepam Variant11,<18,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Promethazine Variant12,Adult,Risk of fatal respiratory depression.,Medium,Saline Nebulizer,Never use in children under 2.
Lorazepam Variant13,<2 years,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Dexamethasone Variant14,Pediatric,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Lorazepam Variant15,Adult,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Lorazepam Variant16,Adult,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Dexamethasone Variant17,Adult,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Dexamethasone Variant18,Elderly,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Chloramphenicol Variant19,Adult,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Prednisone Variant20,All,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Aspirin Variant21,Elderly,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Hydroxyzine Variant22,Elderly,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Prednisone Variant23,All,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Dexamethasone Variant24,Neonates,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Dexamethasone Variant25,All,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Prednisone Variant26,All,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Promethazine Variant27,Adult,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Dexamethasone Variant28,Adult,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Aspirin Variant29,Neonates,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Chloramphenicol Variant30,Adult,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Metoclopramide Variant31,All,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Chloramphenicol Variant32,<18,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Aspirin Variant33,Neonates,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Hydroxyzine Variant34,All,Risk of QT prolongation and sedation.,Medium,Loratadine,Use safer antihistamines in elderly.
Prednisone Variant35,Elderly,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Codeine Variant36,<2 years,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Lorazepam Variant37,All,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Metoclopramide Variant38,Adult,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Codeine Variant39,All,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Dexamethasone Variant40,Elderly,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Metoclopramide Variant41,<18,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
Ciprofloxacin Variant42,Neonates,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Metoclopramide Variant43,Pediatric,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Ciprofloxacin Variant44,Adult,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Ciprofloxacin Variant45,Elderly,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Prednisone Variant46,All,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Metoclopramide Variant47,Elderly,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Dexamethasone Variant48,<18,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Aspirin Variant49,Adult,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Promethazine Variant50,All,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Prednisone Variant51,Elderly,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant52,Adult,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Chloramphenicol Variant53,Neonates,May cause Gray Baby Syndrome.,Critical,Amoxicillin,Avoid in neonates.
Promethazine Variant54,Pediatric,Risk of fatal respiratory depression.,Medium,Saline Nebulizer,Never use in children under 2.
Prednisone Variant55,Adult,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Metoclopramide Variant56,Adult,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
Aspirin Variant57,Elderly,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Ciprofloxacin Variant58,Elderly,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Ciprofloxacin Variant59,Elderly,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Chloramphenicol Variant60,Neonates,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Hydroxyzine Variant61,<18,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Promethazine Variant62,Adult,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Hydroxyzine Variant63,Adult,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Ciprofloxacin Variant64,<2 years,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Ciprofloxacin Variant65,Adult,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Ciprofloxacin Variant66,<18,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Metoclopramide Variant67,Neonates,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Ciprofloxacin Variant68,<18,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Dexamethasone Variant69,<2 years,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Lorazepam Variant70,<18,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Ciprofloxacin Variant71,Elderly,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Chloramphenicol Variant72,Adult,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Lorazepam Variant73,Neonates,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Lorazepam Variant74,<18,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Metoclopramide Variant75,Neonates,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Lorazepam Variant76,<18,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Prednisone Variant77,All,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Hydroxyzine Variant78,Adult,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Metoclopramide Variant79,All,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Promethazine Variant80,All,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Codeine Variant81,<18,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Dexamethasone Variant82,Neonates,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Prednisone Variant83,Neonates,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Hydroxyzine Variant84,Adult,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Codeine Variant85,All,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Ciprofloxacin Variant86,Neonates,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Chloramphenicol Variant87,<18,May cause Gray Baby Syndrome.,Critical,Amoxicillin,Avoid in neonates.
Lorazepam Variant88,Adult,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Metoclopramide Variant89,Elderly,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Lorazepam Variant90,All,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Aspirin Variant91,<2 years,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Ciprofloxacin Variant92,Adult,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Promethazine Variant93,Pediatric,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Hydroxyzine Variant94,Adult,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Prednisone Variant95,Elderly,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Lorazepam Variant96,<18,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Aspirin Variant97,Elderly,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Codeine Variant98,<2 years,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Ciprofloxacin Variant99,All,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Chloramphenicol Variant0,Adult,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Dexamethasone Variant1,All,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Metoclopramide Variant2,<2 years,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Ciprofloxacin Variant3,<2 years,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Metoclopramide Variant4,Neonates,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Lorazepam Variant5,Elderly,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Ciprofloxacin Variant6,All,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Hydroxyzine Variant7,<18,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Chloramphenicol Variant8,Elderly,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Chloramphenicol Variant9,Pediatric,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Hydroxyzine Variant10,Elderly,Risk of QT prolongation and sedation.,Medium,Loratadine,Use safer antihistamines in elderly.
Metoclopramide Variant11,<18,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Prednisone Variant12,<2 years,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Lorazepam Variant13,Pediatric,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Lorazepam Variant14,<2 years,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Prednisone Variant15,Adult,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant16,Elderly,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Chloramphenicol Variant17,Elderly,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Aspirin Variant18,All,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Metoclopramide Variant19,<18,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Ciprofloxacin Variant20,Adult,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Aspirin Variant21,<18,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Dexamethasone Variant22,Pediatric,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Prednisone Variant23,Pediatric,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Lorazepam Variant24,<2 years,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Prednisone Variant25,Adult,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Aspirin Variant26,<2 years,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Ciprofloxacin Variant27,Neonates,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Aspirin Variant28,<2 years,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Chloramphenicol Variant29,Pediatric,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Dexamethasone Variant30,Adult,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Dexamethasone Variant31,All,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Prednisone Variant32,<2 years,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Codeine Variant33,<2 years,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Dexamethasone Variant34,Adult,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
